,date,temp_min,temp_max,is_rain
440,2019-03-17,59,75,False
441,2019-03-18,52,77,False
442,2019-03-19,50,81,False
443,2019-03-20,59,79,False
444,2019-03-21,63,81,False
445,2019-03-22,57,86,False
446,2019-03-23,61,84,False
447,2019-03-24,64,91,False
448,2019-03-25,70,90,False
449,2019-03-26,63,79,False
450,2019-03-27,54,81,False
451,2019-03-28,63,86,False
452,2019-03-29,57,82,False
453,2019-03-30,64,88,True
454,2019-03-31,70,97,False
455,2019-04-01,64,75,False
456,2019-04-02,59,75,False
457,2019-04-03,59,88,False
458,2019-04-04,64,93,False
459,2019-04-05,70,91,False
460,2019-04-06,70,95,False
461,2019-04-07,75,97,False
462,2019-04-08,70,91,False
463,2019-04-09,66,90,True
464,2019-04-10,66,84,True
465,2019-04-11,66,88,False
466,2019-04-12,66,90,True
467,2019-04-13,61,81,False
468,2019-04-14,61,84,False
469,2019-04-15,55,91,False
470,2019-04-16,64,95,False
471,2019-04-17,73,99,False
472,2019-04-18,72,100,False
473,2019-04-19,75,95,False
474,2019-04-20,70,97,False
475,2019-04-21,70,88,False
476,2019-04-22,64,81,False
477,2019-04-23,55,79,False
478,2019-04-24,57,82,False
479,2019-04-25,57,84,False
480,2019-04-26,61,79,False
481,2019-04-27,66,84,False
482,2019-04-28,70,91,False
483,2019-04-29,66,90,False
484,2019-04-30,70,93,False
485,2019-05-01,72,93,False
486,2019-05-02,73,99,False
487,2019-05-03,79,102,False
488,2019-05-04,70,95,False
489,2019-05-05,77,100,False
490,2019-05-06,75,97,False
491,2019-05-07,75,104,False
492,2019-05-08,82,100,False
493,2019-05-09,86,104,False
494,2019-05-10,79,102,False
495,2019-05-11,81,95,False
496,2019-05-12,72,82,False
497,2019-05-13,70,97,False
498,2019-05-14,77,99,False
499,2019-05-15,77,104,False
500,2019-05-16,79,102,False
501,2019-05-17,84,99,False
502,2019-05-18,77,93,True
503,2019-05-19,70,99,False
504,2019-05-20,81,102,False
505,2019-05-21,77,99,False
506,2019-05-22,77,102,False
507,2019-05-23,77,104,False
508,2019-05-24,75,102,False
509,2019-05-25,77,106,False
510,2019-05-26,77,104,False
511,2019-05-27,79,106,False
512,2019-05-28,91,106,False
513,2019-05-29,79,108,False
514,2019-05-30,79,109,False
515,2019-05-31,84,109,False
516,2019-06-01,81,106,False
517,2019-06-02,82,109,False
518,2019-06-03,82,109,False
519,2019-06-04,82,108,False
520,2019-06-05,77,106,False
521,2019-06-06,81,106,False
522,2019-06-07,82,109,False
523,2019-06-08,82,109,False
524,2019-06-09,82,113,False
525,2019-06-10,84,113,False
526,2019-06-11,84,111,False
527,2019-06-12,86,109,False
528,2019-06-13,84,109,False
529,2019-06-14,86,111,False
530,2019-06-15,91,115,False
531,2019-06-16,91,115,False
532,2019-06-17,91,113,False
533,2019-06-18,86,111,False
534,2019-06-19,86,109,False
535,2019-06-20,82,106,False
536,2019-06-21,81,104,False
537,2019-06-22,81,106,False
538,2019-06-23,75,106,False
539,2019-06-24,79,108,False
540,2019-06-25,84,111,False
541,2019-06-26,84,115,False
542,2019-06-27,82,113,False
543,2019-06-28,82,115,False
544,2019-06-29,86,115,False
545,2019-06-30,86,111,False
546,2019-07-01,84,111,False
547,2019-07-02,84,109,False
548,2019-07-03,86,109,False
549,2019-07-04,84,111,False
550,2019-07-05,88,109,False
551,2019-07-06,84,115,False
552,2019-07-07,84,115,False
553,2019-07-08,91,113,False
554,2019-07-09,90,111,False
555,2019-07-10,84,109,False
556,2019-07-11,81,109,False
557,2019-07-12,81,109,False
558,2019-07-13,82,111,False
559,2019-07-14,84,109,False
560,2019-07-15,82,109,False
561,2019-07-16,82,109,False
562,2019-07-17,84,108,False
563,2019-07-18,81,108,False
564,2019-07-19,86,108,False
565,2019-07-20,82,106,False
566,2019-07-21,82,108,False
567,2019-07-22,81,109,False
568,2019-07-23,86,111,False
569,2019-07-24,84,113,False
570,2019-07-25,82,113,False
571,2019-07-26,84,113,False
572,2019-07-27,82,111,False
573,2019-07-28,84,109,False
574,2019-07-29,84,109,False
575,2019-07-30,84,113,False
576,2019-07-31,88,115,False
577,2019-08-01,86,115,False
578,2019-08-02,88,113,False
579,2019-08-03,88,109,False
580,2019-08-04,84,109,False
581,2019-08-05,82,111,False
582,2019-08-06,84,109,False
583,2019-08-07,84,109,False
584,2019-08-08,82,108,False
585,2019-08-09,82,108,False
586,2019-08-10,81,108,False
587,2019-08-11,82,108,False
588,2019-08-12,79,106,False
589,2019-08-13,88,109,False
590,2019-08-14,86,109,False
591,2019-08-15,86,109,False
592,2019-08-16,86,109,False
593,2019-08-17,84,108,False
594,2019-08-18,79,108,False
595,2019-08-19,82,108,False
596,2019-08-20,81,108,False
597,2019-08-21,79,108,False
598,2019-08-22,81,109,False
599,2019-08-23,88,108,False
600,2019-08-24,81,108,False
601,2019-08-25,82,109,False
602,2019-08-26,81,109,False
603,2019-08-27,79,111,False
604,2019-08-28,82,109,False
605,2019-08-29,86,109,False
606,2019-08-30,81,111,False
607,2019-08-31,95,109,False
608,2019-09-01,82,111,False
609,2019-09-02,90,111,False
610,2019-09-03,86,111,False
611,2019-09-04,84,109,False
612,2019-09-05,82,113,False
613,2019-09-06,88,111,False
614,2019-09-07,84,111,False
615,2019-09-08,81,108,False
616,2019-09-09,81,104,False
617,2019-09-10,81,102,False
618,2019-09-11,77,102,False
619,2019-09-12,75,102,False
620,2019-09-13,75,104,False
621,2019-09-14,79,106,False
622,2019-09-15,79,108,False
623,2019-09-16,79,108,False
624,2019-09-17,79,109,False
625,2019-09-18,77,108,False
626,2019-09-19,79,106,False
627,2019-09-20,75,104,False
628,2019-09-21,79,108,False
629,2019-09-22,77,106,False
630,2019-09-23,73,106,False
631,2019-09-24,79,106,False
632,2019-09-25,77,104,False
633,2019-09-26,75,102,False
634,2019-09-27,81,100,False
635,2019-09-28,81,106,False
636,2019-09-29,79,104,False
637,2019-09-30,77,104,False
638,2019-10-01,79,104,False
639,2019-10-02,75,104,False
640,2019-10-03,79,108,False
641,2019-10-04,79,108,False
642,2019-10-05,81,102,False
643,2019-10-06,77,104,False
644,2019-10-07,81,100,False
645,2019-10-08,79,97,False
646,2019-10-09,77,97,False
647,2019-10-10,77,99,False
648,2019-10-11,75,100,False
649,2019-10-12,73,99,False
650,2019-10-13,70,99,False
651,2019-10-14,75,95,False
652,2019-10-15,72,97,False
653,2019-10-16,73,95,False
654,2019-10-17,70,95,False
655,2019-10-18,72,95,False
656,2019-10-19,70,93,False
657,2019-10-20,68,93,False
658,2019-10-21,66,97,False
659,2019-10-22,68,97,False
660,2019-10-23,70,97,False
661,2019-10-24,68,97,False
662,2019-10-25,73,95,False
663,2019-10-26,70,97,False
664,2019-10-27,73,97,False
665,2019-10-28,72,97,False
666,2019-10-29,70,97,False
667,2019-10-30,66,97,False
668,2019-10-31,72,88,False
669,2019-11-01,66,84,False
670,2019-11-02,66,88,False
671,2019-11-03,72,95,False
672,2019-11-04,72,95,False
673,2019-11-05,68,95,False
674,2019-11-06,66,86,False
675,2019-11-07,64,93,False
676,2019-11-08,70,91,False
677,2019-11-09,68,91,False
678,2019-11-10,64,88,False
679,2019-11-11,66,77,False
680,2019-11-12,61,81,False
681,2019-11-13,59,75,True
682,2019-11-14,59,81,False
683,2019-11-15,63,75,False
684,2019-11-16,63,73,False
685,2019-11-17,59,77,False
686,2019-11-18,61,75,True
687,2019-11-19,55,66,True
688,2019-11-20,52,66,False
689,2019-11-21,43,66,False
690,2019-11-22,43,66,False
691,2019-11-23,50,72,False
692,2019-11-24,59,72,False
693,2019-11-25,57,73,False
694,2019-11-26,55,79,False
695,2019-11-27,55,79,False
696,2019-11-28,59,79,False
697,2019-11-29,64,82,False
698,2019-11-30,61,84,False
699,2019-12-01,57,81,False
700,2019-12-02,59,81,False
701,2019-12-03,59,75,False
702,2019-12-04,52,73,False
703,2019-12-05,54,73,False
704,2019-12-06,59,77,False
705,2019-12-07,61,81,False
706,2019-12-08,55,66,False
707,2019-12-09,50,66,False
708,2019-12-10,63,72,False
709,2019-12-11,59,72,False
710,2019-12-12,54,73,False
711,2019-12-13,61,82,False
712,2019-12-14,59,73,False
713,2019-12-15,61,72,True
714,2019-12-16,59,73,True
715,2019-12-17,54,63,False
716,2019-12-18,50,66,False
717,2019-12-19,46,64,False
718,2019-12-20,45,64,False
719,2019-12-21,41,66,False
720,2019-12-22,39,66,False
721,2019-12-23,39,68,False
722,2019-12-24,45,72,False
723,2019-12-25,50,73,False
724,2019-12-26,52,77,False
725,2019-12-27,50,81,False
726,2019-12-28,52,75,False
727,2019-12-29,52,75,False
728,2019-12-30,52,77,False
729,2019-12-31,54,81,False
730,2020-01-01,54,66,False
731,2020-01-02,54,75,False
732,2020-01-03,59,86,False
733,2020-01-04,64,81,False
734,2020-01-05,50,59,False
735,2020-01-06,45,61,False
736,2020-01-07,43,64,False
737,2020-01-08,48,70,False
738,2020-01-09,52,70,False
739,2020-01-10,48,70,False
740,2020-01-11,46,61,False
741,2020-01-12,45,61,False
742,2020-01-13,39,66,False
743,2020-01-14,45,64,False
744,2020-01-15,39,59,False
745,2020-01-16,41,66,False
746,2020-01-17,48,72,False
747,2020-01-18,50,77,False
748,2020-01-19,52,72,False
749,2020-01-20,48,70,False
750,2020-01-21,48,70,False
751,2020-01-22,55,68,False
752,2020-01-23,48,61,False
753,2020-01-24,39,63,False
754,2020-01-25,46,63,False
755,2020-01-26,41,59,False
756,2020-01-27,39,64,False
757,2020-01-28,37,66,False
758,2020-01-29,41,75,False
759,2020-01-30,48,72,False
760,2020-01-31,43,72,False
761,2020-02-01,55,72,False
762,2020-02-02,45,68,False
763,2020-02-03,46,68,False
764,2020-02-04,45,70,False
765,2020-02-05,54,75,False
766,2020-02-06,55,79,False
767,2020-02-07,61,82,False
768,2020-02-08,59,84,False
769,2020-02-09,57,70,False
770,2020-02-10,50,64,False
771,2020-02-11,41,61,False
772,2020-02-12,36,61,False
773,2020-02-13,34,66,False
774,2020-02-14,41,77,False
775,2020-02-15,46,77,False
776,2020-02-16,50,79,False
777,2020-02-17,59,82,False
778,2020-02-18,59,84,False
779,2020-02-19,64,88,False
780,2020-02-20,61,77,False
781,2020-02-21,52,73,False
782,2020-02-22,59,79,False
783,2020-02-23,61,84,False
784,2020-02-24,66,88,False
785,2020-02-25,63,91,False
786,2020-02-26,57,75,False
787,2020-02-27,54,75,False
788,2020-02-28,48,81,False
789,2020-02-29,57,84,False
790,2020-03-01,66,88,False
791,2020-03-02,57,75,False
792,2020-03-03,50,77,False
793,2020-03-04,50,79,False
794,2020-03-05,52,82,False
795,2020-03-06,55,88,False
796,2020-03-07,63,86,False
797,2020-03-08,59,79,False
798,2020-03-09,55,79,False
799,2020-03-10,52,82,False
800,2020-03-11,57,82,False
801,2020-03-12,57,82,False
802,2020-03-13,63,82,False
803,2020-03-14,70,82,False
804,2020-03-15,63,82,False
805,2020-03-16,61,82,False
806,2020-03-17,61,84,False
807,2020-03-18,70,90,False
808,2020-03-19,63,82,False
809,2020-03-20,59,84,False
810,2020-03-21,66,86,False
811,2020-03-22,61,77,False
812,2020-03-23,52,77,False
813,2020-03-24,52,82,False
814,2020-03-25,59,86,False
815,2020-03-26,70,90,False
816,2020-03-27,68,93,False
817,2020-03-28,73,97,False
818,2020-03-29,68,84,False
819,2020-03-30,63,84,False
820,2020-03-31,59,84,False
821,2020-04-01,68,90,False
822,2020-04-02,72,95,False
823,2020-04-03,70,95,False
824,2020-04-04,66,90,False
